Languages,	Evaluation results
Avg,	1.22
vie_Latn,	2.64
tgk_Cyrl,	1.53
som_Latn,	1.8
heb_Hebr,	0.73
tha_Thai,	0.49
kas_Arab,	0.18
taq_Latn,	1.32
lao_Laoo,	0.07
acm_Arab,	0.48
apc_Arab,	0.58
arb_Arab,	0.44
fra_Latn,	2.29
tur_Latn,	0.69
min_Latn,	1.23
xho_Latn,	1.08
azj_Latn,	0.71
mya_Mymr,	0.12
ita_Latn,	2.02
hun_Latn,	1.27
hat_Latn,	2.2
glg_Latn,	2
eus_Latn,	0.7
smo_Latn,	3.48
kaz_Cyrl,	1.44
ars_Arab,	0.47
aeb_Arab,	0.49
yor_Latn,	0.19
ckb_Arab,	0.79
hin_Deva,	1.29
min_Arab,	0.27
gle_Latn,	1.89
pol_Latn,	1.39
nob_Latn,	1.78
guj_Gujr,	0.13
ltz_Latn,	1.33
sin_Sinh,	0.27
jav_Latn,	1.92
arz_Arab,	0.5
sot_Latn,	3.14
sna_Latn,	0.84
dan_Latn,	1.55
mar_Deva,	0.83
slk_Latn,	1.04
tel_Telu,	0.16
acq_Arab,	0.61
mal_Mlym,	0.56
snd_Arab,	0.84
ces_Latn,	1.21
cat_Latn,	2.21
afr_Latn,	2.13
ace_Arab,	0.58
gla_Latn,	2.13
ace_Latn,	1.25
srp_Cyrl,	1.64
mni_Beng,	0.39
slv_Latn,	1.24
als_Latn,	1.7
ell_Grek,	0.65
knc_Arab,	0.06
nso_Latn,	3.39
pbt_Arab,	0.93
zho_Hant,	0.44
epo_Latn,	1.29
plt_Latn,	1.8
bjn_Latn,	1.59
ajp_Arab,	0.73
amh_Ethi,	0.11
bel_Cyrl,	1.09
cym_Latn,	1.68
swe_Latn,	1.56
yue_Hant,	0.53
nld_Latn,	1.72
kir_Cyrl,	1.28
pes_Arab,	0.86
ben_Beng,	0.56
khk_Cyrl,	1.45
lvs_Latn,	0.99
ibo_Latn,	2.25
ukr_Cyrl,	1.02
por_Latn,	1.45
khm_Khmr,	0.06
ron_Latn,	1.53
uzn_Latn,	1.25
kan_Knda,	0.05
hau_Latn,	2.37
lit_Latn,	1.8
arb_Latn,	0.23
rus_Cyrl,	1.68
mkd_Cyrl,	1.23
ceb_Latn,	2.3
kat_Geor,	0.88
ydd_Hebr,	0.61
mri_Latn,	3.91
ind_Latn,	2.62
zsm_Latn,	1.99
urd_Arab,	1.06
azb_Arab,	0.63
bul_Cyrl,	1.64
knc_Latn,	1.11
zul_Latn,	1.45
jpn_Jpan,	0.36
mlt_Latn,	1
fin_Latn,	0.58
npi_Deva,	0.71
bjn_Arab,	0.53
kmr_Latn,	2.21
deu_Latn,	1.85
zho_Hans,	0.53
est_Latn,	1.15
kor_Hang,	0.8
tam_Taml,	0.61
sun_Latn,	1.68
nno_Latn,	1.68
eng_Latn,	2.59
swh_Latn,	2.14
isl_Latn,	1.35
hye_Armn,	0.25
spa_Latn,	2.18
ary_Arab,	0.48
