Languages,	Evaluation results
Avg,	1.17
vie_Latn,	2.05
tgk_Cyrl,	0.46
som_Latn,	0.89
heb_Hebr,	0.44
tha_Thai,	0.28
kas_Arab,	0.17
taq_Latn,	0.95
lao_Laoo,	0.42
acm_Arab,	0.34
apc_Arab,	0.46
arb_Arab,	0.26
fra_Latn,	3.78
tur_Latn,	0.83
min_Latn,	1.22
xho_Latn,	0.98
azj_Latn,	1.01
mya_Mymr,	0.19
ita_Latn,	2.59
hun_Latn,	1.88
hat_Latn,	1.18
glg_Latn,	2.05
eus_Latn,	0.99
smo_Latn,	2.91
kaz_Cyrl,	0.48
ars_Arab,	0.59
aeb_Arab,	0.46
yor_Latn,	0.27
ckb_Arab,	0.71
hin_Deva,	0.46
min_Arab,	0.4
gle_Latn,	1.2
pol_Latn,	1.5
nob_Latn,	1.91
guj_Gujr,	0.54
ltz_Latn,	1.07
sin_Sinh,	0.81
jav_Latn,	1.44
arz_Arab,	0.57
sot_Latn,	1.62
sna_Latn,	0.86
dan_Latn,	2.09
mar_Deva,	0.73
slk_Latn,	1.08
tel_Telu,	0.9
acq_Arab,	0.58
mal_Mlym,	0.39
snd_Arab,	0.99
ces_Latn,	1.95
cat_Latn,	4.72
afr_Latn,	1.4
ace_Arab,	0.73
gla_Latn,	1.41
ace_Latn,	1.35
srp_Cyrl,	1.27
mni_Beng,	0.17
slv_Latn,	1.52
als_Latn,	1.18
ell_Grek,	0.96
knc_Arab,	0.07
nso_Latn,	2.03
pbt_Arab,	1.12
zho_Hant,	0.2
epo_Latn,	1.33
plt_Latn,	1.48
bjn_Latn,	1.89
ajp_Arab,	0.25
amh_Ethi,	0.34
bel_Cyrl,	0.33
cym_Latn,	1.12
swe_Latn,	2.39
yue_Hant,	0.55
nld_Latn,	2.84
kir_Cyrl,	0.46
pes_Arab,	0.94
ben_Beng,	0.26
khk_Cyrl,	0.37
lvs_Latn,	1.27
ibo_Latn,	1.3
ukr_Cyrl,	1.52
por_Latn,	4.29
khm_Khmr,	0.29
ron_Latn,	2.85
uzn_Latn,	0.62
kan_Knda,	0.71
hau_Latn,	1.24
lit_Latn,	0.87
arb_Latn,	0.33
rus_Cyrl,	1.77
mkd_Cyrl,	0.44
ceb_Latn,	1.68
kat_Geor,	0.94
ydd_Hebr,	0.58
mri_Latn,	1.83
ind_Latn,	2.27
zsm_Latn,	2.02
urd_Arab,	0.58
azb_Arab,	0.38
bul_Cyrl,	1.14
knc_Latn,	0.7
zul_Latn,	0.9
jpn_Jpan,	0.41
mlt_Latn,	1.06
fin_Latn,	1.36
npi_Deva,	0.34
bjn_Arab,	0.55
kmr_Latn,	0.85
deu_Latn,	2.77
zho_Hans,	0.1
est_Latn,	1.02
kor_Hang,	0.57
tam_Taml,	0.49
sun_Latn,	1.42
nno_Latn,	1.29
eng_Latn,	5.58
swh_Latn,	1.4
isl_Latn,	0.72
hye_Armn,	0.46
spa_Latn,	4.74
ary_Arab,	0.48
