Languages,	Evaluation results
Avg,	1.24
vie_Latn,	2.95
tgk_Cyrl,	0.84
som_Latn,	1.66
heb_Hebr,	0.67
tha_Thai,	0.48
kas_Arab,	0.5
taq_Latn,	1.41
lao_Laoo,	0.56
acm_Arab,	0.33
apc_Arab,	0.79
arb_Arab,	0.63
fra_Latn,	2.45
tur_Latn,	0.64
min_Latn,	1.3
xho_Latn,	0.87
azj_Latn,	1.2
mya_Mymr,	0.37
ita_Latn,	2.67
hun_Latn,	2.42
hat_Latn,	1.73
glg_Latn,	2.24
eus_Latn,	0.78
smo_Latn,	4.65
kaz_Cyrl,	0.92
ars_Arab,	0.56
aeb_Arab,	0.55
yor_Latn,	0.31
ckb_Arab,	0.33
hin_Deva,	1.06
min_Arab,	0.38
gle_Latn,	1.96
pol_Latn,	1.1
nob_Latn,	1.89
guj_Gujr,	0.27
ltz_Latn,	1.5
sin_Sinh,	0.5
jav_Latn,	1.51
arz_Arab,	0.71
sot_Latn,	3.09
sna_Latn,	0.94
dan_Latn,	2.43
mar_Deva,	0.66
slk_Latn,	1.21
tel_Telu,	0.2
acq_Arab,	0.6
mal_Mlym,	0.62
snd_Arab,	1.13
ces_Latn,	1.7
cat_Latn,	3.13
afr_Latn,	1.86
ace_Arab,	0.59
gla_Latn,	2.2
ace_Latn,	1.12
srp_Cyrl,	1.23
mni_Beng,	0.45
slv_Latn,	1.68
als_Latn,	1.57
ell_Grek,	0.86
knc_Arab,	0.16
nso_Latn,	2.72
pbt_Arab,	1.33
zho_Hant,	0.3
epo_Latn,	1.64
plt_Latn,	1.74
bjn_Latn,	0.95
ajp_Arab,	0.47
amh_Ethi,	0.23
bel_Cyrl,	0.9
cym_Latn,	1.73
swe_Latn,	1.97
yue_Hant,	0.14
nld_Latn,	1.86
kir_Cyrl,	1.37
pes_Arab,	1.12
ben_Beng,	0.45
khk_Cyrl,	1.02
lvs_Latn,	1.61
ibo_Latn,	1.61
ukr_Cyrl,	1.7
por_Latn,	1.95
khm_Khmr,	0.38
ron_Latn,	1.77
uzn_Latn,	0.92
kan_Knda,	0.15
hau_Latn,	1.55
lit_Latn,	1.6
arb_Latn,	0.35
rus_Cyrl,	1.61
mkd_Cyrl,	1.05
ceb_Latn,	2.24
kat_Geor,	0.41
ydd_Hebr,	1.3
mri_Latn,	2.26
ind_Latn,	2.07
zsm_Latn,	1.75
urd_Arab,	1.23
azb_Arab,	0.53
bul_Cyrl,	2.07
knc_Latn,	1.13
zul_Latn,	0.79
jpn_Jpan,	0.48
mlt_Latn,	1.1
fin_Latn,	1.26
npi_Deva,	0.68
bjn_Arab,	0.56
kmr_Latn,	1.14
deu_Latn,	1.63
zho_Hans,	0.12
est_Latn,	1.42
kor_Hang,	0.86
tam_Taml,	0.83
sun_Latn,	1.32
nno_Latn,	1.51
eng_Latn,	2.65
swh_Latn,	1.27
isl_Latn,	1.51
hye_Armn,	0.25
spa_Latn,	2.78
ary_Arab,	0.57
