Languages,	Evaluation results
Avg,	1.24
vie_Latn,	2.98
tgk_Cyrl,	1.02
som_Latn,	1.42
heb_Hebr,	0.73
tha_Thai,	0.52
kas_Arab,	0.5
taq_Latn,	1.46
lao_Laoo,	0.1
acm_Arab,	0.74
apc_Arab,	0.57
arb_Arab,	0.48
fra_Latn,	2.21
tur_Latn,	0.69
min_Latn,	1.51
xho_Latn,	0.64
azj_Latn,	0.84
mya_Mymr,	0.22
ita_Latn,	2.07
hun_Latn,	1.58
hat_Latn,	2.27
glg_Latn,	1.81
eus_Latn,	1.25
smo_Latn,	3.42
kaz_Cyrl,	0.39
ars_Arab,	1.03
aeb_Arab,	0.95
yor_Latn,	0.21
ckb_Arab,	0.25
hin_Deva,	1.3
min_Arab,	0.09
gle_Latn,	2.14
pol_Latn,	1.1
nob_Latn,	2.05
guj_Gujr,	0.01
ltz_Latn,	1.87
sin_Sinh,	0
jav_Latn,	1.98
arz_Arab,	1.17
sot_Latn,	2.26
sna_Latn,	1.05
dan_Latn,	1.98
mar_Deva,	0.44
slk_Latn,	1.64
tel_Telu,	0.61
acq_Arab,	0.89
mal_Mlym,	0.25
snd_Arab,	0.92
ces_Latn,	1.27
cat_Latn,	1.64
afr_Latn,	1.98
ace_Arab,	0.22
gla_Latn,	2.42
ace_Latn,	1.13
srp_Cyrl,	1.46
mni_Beng,	0.33
slv_Latn,	0.69
als_Latn,	1.91
ell_Grek,	1.75
knc_Arab,	0.03
nso_Latn,	1.81
pbt_Arab,	1.47
zho_Hant,	0.41
epo_Latn,	2.59
plt_Latn,	1.56
bjn_Latn,	1.81
ajp_Arab,	0.74
amh_Ethi,	0.01
bel_Cyrl,	1.03
cym_Latn,	2.02
swe_Latn,	1.5
yue_Hant,	0.54
nld_Latn,	1.71
kir_Cyrl,	0.96
pes_Arab,	1.75
ben_Beng,	0.51
khk_Cyrl,	0.94
lvs_Latn,	1.56
ibo_Latn,	1.39
ukr_Cyrl,	1.12
por_Latn,	1.57
khm_Khmr,	0.01
ron_Latn,	1.85
uzn_Latn,	1.24
kan_Knda,	0.01
hau_Latn,	2.03
lit_Latn,	1.53
arb_Latn,	0.09
rus_Cyrl,	1.5
mkd_Cyrl,	2
ceb_Latn,	2.13
kat_Geor,	0.82
ydd_Hebr,	0.5
mri_Latn,	2.67
ind_Latn,	1.9
zsm_Latn,	1.86
urd_Arab,	2
azb_Arab,	0.98
bul_Cyrl,	1.83
knc_Latn,	1.21
zul_Latn,	1.74
jpn_Jpan,	1.04
mlt_Latn,	1.78
fin_Latn,	1.11
npi_Deva,	0.44
bjn_Arab,	0.38
kmr_Latn,	1.6
deu_Latn,	1.97
zho_Hans,	0.31
est_Latn,	1.59
kor_Hang,	1.11
tam_Taml,	0.36
sun_Latn,	1.73
nno_Latn,	1.31
eng_Latn,	1.35
swh_Latn,	2.12
isl_Latn,	2.33
hye_Armn,	0.02
spa_Latn,	2.6
ary_Arab,	1.22
