Languages,	Evaluation results
Avg,	1.42
vie_Latn,	2.94
tgk_Cyrl,	1.8
som_Latn,	1.86
heb_Hebr,	1.33
tha_Thai,	0.91
kas_Arab,	0.63
taq_Latn,	1.85
lao_Laoo,	0.17
acm_Arab,	0.87
apc_Arab,	1.22
arb_Arab,	0.86
fra_Latn,	2.62
tur_Latn,	0.9
min_Latn,	2.14
xho_Latn,	0.91
azj_Latn,	1.26
mya_Mymr,	0.22
ita_Latn,	2.54
hun_Latn,	2.15
hat_Latn,	2.28
glg_Latn,	1.85
eus_Latn,	1.4
smo_Latn,	3.95
kaz_Cyrl,	0.51
ars_Arab,	1.11
aeb_Arab,	1.03
yor_Latn,	0.24
ckb_Arab,	0.15
hin_Deva,	1.66
min_Arab,	0.17
gle_Latn,	2.87
pol_Latn,	1.23
nob_Latn,	1.81
guj_Gujr,	0.02
ltz_Latn,	1.33
sin_Sinh,	0.01
jav_Latn,	1.93
arz_Arab,	1.1
sot_Latn,	2.91
sna_Latn,	0.8
dan_Latn,	2.17
mar_Deva,	0.37
slk_Latn,	1.44
tel_Telu,	0.8
acq_Arab,	1.17
mal_Mlym,	0.36
snd_Arab,	0.94
ces_Latn,	2.17
cat_Latn,	2.8
afr_Latn,	2.31
ace_Arab,	0.43
gla_Latn,	2.59
ace_Latn,	1.37
srp_Cyrl,	2.16
mni_Beng,	0.41
slv_Latn,	2
als_Latn,	2.07
ell_Grek,	2.05
knc_Arab,	0.06
nso_Latn,	2.46
pbt_Arab,	0.83
zho_Hant,	0.21
epo_Latn,	1.58
plt_Latn,	2.89
bjn_Latn,	1.61
ajp_Arab,	0.98
amh_Ethi,	0.02
bel_Cyrl,	1.61
cym_Latn,	2.23
swe_Latn,	1.62
yue_Hant,	0.38
nld_Latn,	1.54
kir_Cyrl,	1.38
pes_Arab,	1.82
ben_Beng,	0.37
khk_Cyrl,	1.01
lvs_Latn,	2.26
ibo_Latn,	1.9
ukr_Cyrl,	1.47
por_Latn,	1.72
khm_Khmr,	0.06
ron_Latn,	2.2
uzn_Latn,	1.65
kan_Knda,	0.02
hau_Latn,	2.64
lit_Latn,	1.82
arb_Latn,	0.06
rus_Cyrl,	1.43
mkd_Cyrl,	2.32
ceb_Latn,	3.12
kat_Geor,	1.3
ydd_Hebr,	0.56
mri_Latn,	2.34
ind_Latn,	2.62
zsm_Latn,	2.02
urd_Arab,	2.56
azb_Arab,	0.75
bul_Cyrl,	1.92
knc_Latn,	1.81
zul_Latn,	1.51
jpn_Jpan,	0.71
mlt_Latn,	1.13
fin_Latn,	1.46
npi_Deva,	0.43
bjn_Arab,	0.27
kmr_Latn,	2.24
deu_Latn,	1.38
zho_Hans,	0.55
est_Latn,	1.6
kor_Hang,	0.79
tam_Taml,	0.37
sun_Latn,	2.16
nno_Latn,	1.41
eng_Latn,	1.43
swh_Latn,	2.35
isl_Latn,	1.23
hye_Armn,	0.08
spa_Latn,	2.78
ary_Arab,	0.85
