Languages,	Evaluation results
Avg,	1.59
vie_Latn,	3.11
tgk_Cyrl,	0.91
som_Latn,	0.93
heb_Hebr,	0.87
tha_Thai,	0.45
kas_Arab,	0.72
taq_Latn,	1.08
lao_Laoo,	0.5
acm_Arab,	0.57
apc_Arab,	0.44
arb_Arab,	0.41
fra_Latn,	1.87
tur_Latn,	0.67
min_Latn,	1.11
xho_Latn,	0.87
azj_Latn,	0.68
mya_Mymr,	0.54
ita_Latn,	1.52
hun_Latn,	1.51
hat_Latn,	1.49
glg_Latn,	1.63
eus_Latn,	1.1
smo_Latn,	3.73
kaz_Cyrl,	0.77
ars_Arab,	0.52
aeb_Arab,	0.65
yor_Latn,	0.45
ckb_Arab,	0.64
hin_Deva,	2.77
min_Arab,	28.08
gle_Latn,	1.5
pol_Latn,	1.18
nob_Latn,	1.36
guj_Gujr,	0.65
ltz_Latn,	1.2
sin_Sinh,	0.33
jav_Latn,	1.57
arz_Arab,	0.55
sot_Latn,	2.67
sna_Latn,	0.66
dan_Latn,	1.29
mar_Deva,	1.26
slk_Latn,	0.97
tel_Telu,	0.81
acq_Arab,	0.66
mal_Mlym,	0.23
snd_Arab,	0.91
ces_Latn,	1.18
cat_Latn,	1.64
afr_Latn,	1.49
ace_Arab,	0.65
gla_Latn,	2.23
ace_Latn,	1
srp_Cyrl,	0.69
mni_Beng,	0.5
slv_Latn,	0.88
als_Latn,	1.71
ell_Grek,	2.1
knc_Arab,	0.42
nso_Latn,	2.07
pbt_Arab,	1.38
zho_Hant,	0.64
epo_Latn,	1.83
plt_Latn,	2.04
bjn_Latn,	1.23
ajp_Arab,	0.34
amh_Ethi,	0.27
bel_Cyrl,	1.24
cym_Latn,	1.18
swe_Latn,	1.52
yue_Hant,	0.6
nld_Latn,	2.16
kir_Cyrl,	0.69
pes_Arab,	1.01
ben_Beng,	0.65
khk_Cyrl,	1.02
lvs_Latn,	1.19
ibo_Latn,	1.98
ukr_Cyrl,	1.17
por_Latn,	1.46
khm_Khmr,	0.93
ron_Latn,	1.3
uzn_Latn,	1.02
kan_Knda,	0.62
hau_Latn,	1.97
lit_Latn,	0.92
arb_Latn,	27.58
rus_Cyrl,	0.69
mkd_Cyrl,	1.02
ceb_Latn,	2.03
kat_Geor,	0.14
ydd_Hebr,	0.71
mri_Latn,	2.76
ind_Latn,	2.05
zsm_Latn,	2.61
urd_Arab,	0.86
azb_Arab,	0.67
bul_Cyrl,	0.69
knc_Latn,	0.96
zul_Latn,	0.67
jpn_Jpan,	0.31
mlt_Latn,	0.88
fin_Latn,	0.96
npi_Deva,	0.86
bjn_Arab,	0.4
kmr_Latn,	0.99
deu_Latn,	1.28
zho_Hans,	0.4
est_Latn,	0.92
kor_Hang,	0.75
tam_Taml,	0.55
sun_Latn,	1.16
nno_Latn,	1.33
eng_Latn,	2.52
swh_Latn,	2.66
isl_Latn,	1.3
hye_Armn,	0.42
spa_Latn,	2.41
ary_Arab,	0.77
