Languages,	Evaluation results
Avg,	1.55
vie_Latn,	4
tgk_Cyrl,	1.23
som_Latn,	1.53
heb_Hebr,	1.11
tha_Thai,	0.66
kas_Arab,	0.21
taq_Latn,	1.08
lao_Laoo,	0.47
acm_Arab,	0.84
apc_Arab,	0.44
arb_Arab,	0.9
fra_Latn,	5.37
tur_Latn,	1.06
min_Latn,	1.45
xho_Latn,	0.88
azj_Latn,	1.62
mya_Mymr,	0.16
ita_Latn,	4.91
hun_Latn,	2.11
hat_Latn,	1.6
glg_Latn,	2.46
eus_Latn,	1.02
smo_Latn,	3.06
kaz_Cyrl,	0.64
ars_Arab,	1.16
aeb_Arab,	0.84
yor_Latn,	0.43
ckb_Arab,	1.06
hin_Deva,	1.24
min_Arab,	0.35
gle_Latn,	1.53
pol_Latn,	2.34
nob_Latn,	3.24
guj_Gujr,	0.28
ltz_Latn,	1.02
sin_Sinh,	0.24
jav_Latn,	1.5
arz_Arab,	0.9
sot_Latn,	2.42
sna_Latn,	0.8
dan_Latn,	3.86
mar_Deva,	1.13
slk_Latn,	1.44
tel_Telu,	0.21
acq_Arab,	0.93
mal_Mlym,	0.78
snd_Arab,	0.94
ces_Latn,	2.02
cat_Latn,	3.47
afr_Latn,	2.16
ace_Arab,	0.42
gla_Latn,	1.9
ace_Latn,	1.66
srp_Cyrl,	1.36
mni_Beng,	0.33
slv_Latn,	2.47
als_Latn,	2.42
ell_Grek,	1.04
knc_Arab,	0.17
nso_Latn,	2.42
pbt_Arab,	1.54
zho_Hant,	0.67
epo_Latn,	1.83
plt_Latn,	1.28
bjn_Latn,	1.76
ajp_Arab,	0.5
amh_Ethi,	0.67
bel_Cyrl,	1.15
cym_Latn,	1.37
swe_Latn,	3.07
yue_Hant,	0.74
nld_Latn,	4.46
kir_Cyrl,	1.13
pes_Arab,	1.55
ben_Beng,	0.75
khk_Cyrl,	1.67
lvs_Latn,	1.01
ibo_Latn,	2.04
ukr_Cyrl,	2.28
por_Latn,	3.91
khm_Khmr,	0.67
ron_Latn,	2.59
uzn_Latn,	1.21
kan_Knda,	0.29
hau_Latn,	1.39
lit_Latn,	1.72
arb_Latn,	0.32
rus_Cyrl,	3.81
mkd_Cyrl,	0.94
ceb_Latn,	2.25
kat_Geor,	0.87
ydd_Hebr,	0.59
mri_Latn,	2.36
ind_Latn,	3.42
zsm_Latn,	2.91
urd_Arab,	1.14
azb_Arab,	0.44
bul_Cyrl,	1.63
knc_Latn,	0.98
zul_Latn,	1.52
jpn_Jpan,	0.51
mlt_Latn,	0.86
fin_Latn,	1.73
npi_Deva,	0.5
bjn_Arab,	0.6
kmr_Latn,	1.62
deu_Latn,	3.91
zho_Hans,	0.24
est_Latn,	1.07
kor_Hang,	1.35
tam_Taml,	0.97
sun_Latn,	1.74
nno_Latn,	1.67
eng_Latn,	4.3
swh_Latn,	2.26
isl_Latn,	0.88
hye_Armn,	0.29
spa_Latn,	5.23
ary_Arab,	0.69
