Languages,	Evaluation results
Avg,	0.85
vie_Latn,	2.23
tgk_Cyrl,	1.1
som_Latn,	1.05
heb_Hebr,	1.34
tha_Thai,	0.57
kas_Arab,	0.3
taq_Latn,	1.19
lao_Laoo,	0.46
acm_Arab,	0.25
apc_Arab,	0.3
arb_Arab,	0.37
fra_Latn,	2.02
tur_Latn,	0.17
min_Latn,	0.88
xho_Latn,	0.33
azj_Latn,	0.58
mya_Mymr,	0.1
ita_Latn,	1.23
hun_Latn,	0.78
hat_Latn,	1.08
glg_Latn,	1.49
eus_Latn,	1.22
smo_Latn,	2.05
kaz_Cyrl,	0.61
ars_Arab,	0.28
aeb_Arab,	0.15
yor_Latn,	0.3
ckb_Arab,	0.69
hin_Deva,	1.35
min_Arab,	0.1
gle_Latn,	1.64
pol_Latn,	0.43
nob_Latn,	0.75
guj_Gujr,	1.44
ltz_Latn,	0.56
sin_Sinh,	0.41
jav_Latn,	0.54
arz_Arab,	0.44
sot_Latn,	1.77
sna_Latn,	0.5
dan_Latn,	1.02
mar_Deva,	0.47
slk_Latn,	1.06
tel_Telu,	0.71
acq_Arab,	0.26
mal_Mlym,	0.37
snd_Arab,	1.14
ces_Latn,	0.45
cat_Latn,	1.45
afr_Latn,	0.8
ace_Arab,	0.35
gla_Latn,	1.75
ace_Latn,	0.77
srp_Cyrl,	0.56
mni_Beng,	0.97
slv_Latn,	0.95
als_Latn,	1.07
ell_Grek,	1
knc_Arab,	0.11
nso_Latn,	1.7
pbt_Arab,	1.13
zho_Hant,	0.08
epo_Latn,	1.16
plt_Latn,	1.73
bjn_Latn,	0.38
ajp_Arab,	0.43
amh_Ethi,	0.2
bel_Cyrl,	0.57
cym_Latn,	1.73
swe_Latn,	0.97
yue_Hant,	0.22
nld_Latn,	0.89
kir_Cyrl,	1.17
pes_Arab,	0.64
ben_Beng,	0.84
khk_Cyrl,	1.37
lvs_Latn,	0.78
ibo_Latn,	1.86
ukr_Cyrl,	0.62
por_Latn,	1.52
khm_Khmr,	0.71
ron_Latn,	1.12
uzn_Latn,	1.07
kan_Knda,	0.6
hau_Latn,	0.93
lit_Latn,	0.31
arb_Latn,	0.05
rus_Cyrl,	1.12
mkd_Cyrl,	1.02
ceb_Latn,	1.33
kat_Geor,	0.06
ydd_Hebr,	0.65
mri_Latn,	2.38
ind_Latn,	1.11
zsm_Latn,	1.17
urd_Arab,	1.18
azb_Arab,	0.57
bul_Cyrl,	0.86
knc_Latn,	1.11
zul_Latn,	1.56
jpn_Jpan,	0.4
mlt_Latn,	0.98
fin_Latn,	0.43
npi_Deva,	0.37
bjn_Arab,	0.73
kmr_Latn,	0.81
deu_Latn,	1.03
zho_Hans,	0.19
est_Latn,	0.69
kor_Hang,	0.67
tam_Taml,	0.39
sun_Latn,	0.72
nno_Latn,	0.72
eng_Latn,	1.32
swh_Latn,	0.71
isl_Latn,	0.48
hye_Armn,	0.92
spa_Latn,	2.01
ary_Arab,	0.38
