Languages,	Evaluation results
Avg,	0.12
vie_Latn,	0
tgk_Cyrl,	0
som_Latn,	1.36
heb_Hebr,	0.08
tha_Thai,	0.09
kas_Arab,	0.05
taq_Latn,	0.23
lao_Laoo,	0.05
acm_Arab,	0
apc_Arab,	0.06
arb_Arab,	0.04
fra_Latn,	0
tur_Latn,	0.12
min_Latn,	0.15
xho_Latn,	0.1
azj_Latn,	0.32
mya_Mymr,	0.3
ita_Latn,	0.27
hun_Latn,	0.1
hat_Latn,	0.01
glg_Latn,	0.02
eus_Latn,	0
smo_Latn,	0.13
kaz_Cyrl,	0.07
ars_Arab,	0
aeb_Arab,	0.13
yor_Latn,	0
ckb_Arab,	0
hin_Deva,	0
min_Arab,	0
gle_Latn,	0.01
pol_Latn,	0.37
nob_Latn,	0
guj_Gujr,	0.03
ltz_Latn,	0.05
sin_Sinh,	1.04
jav_Latn,	0
arz_Arab,	0
sot_Latn,	0
sna_Latn,	0
dan_Latn,	0.01
mar_Deva,	0.01
slk_Latn,	0.3
tel_Telu,	0.12
acq_Arab,	0.03
mal_Mlym,	0.01
snd_Arab,	0.09
ces_Latn,	0.47
cat_Latn,	0.04
afr_Latn,	0
ace_Arab,	0.06
gla_Latn,	0
ace_Latn,	0.04
srp_Cyrl,	0
mni_Beng,	0.66
slv_Latn,	0.06
als_Latn,	0.13
ell_Grek,	0
knc_Arab,	0
nso_Latn,	0.01
pbt_Arab,	0.01
zho_Hant,	0.03
epo_Latn,	0.1
plt_Latn,	0
bjn_Latn,	0.08
ajp_Arab,	0.07
amh_Ethi,	0.22
bel_Cyrl,	0.06
cym_Latn,	0.56
swe_Latn,	0.06
yue_Hant,	0.2
nld_Latn,	0.01
kir_Cyrl,	0.14
pes_Arab,	0.04
ben_Beng,	0.01
khk_Cyrl,	0.03
lvs_Latn,	0.01
ibo_Latn,	0.55
ukr_Cyrl,	0.03
por_Latn,	0
khm_Khmr,	0.25
ron_Latn,	0
uzn_Latn,	1.06
kan_Knda,	0.01
hau_Latn,	0
lit_Latn,	0
arb_Latn,	0
rus_Cyrl,	0
mkd_Cyrl,	0.03
ceb_Latn,	0.04
kat_Geor,	0.17
ydd_Hebr,	0.12
mri_Latn,	0.76
ind_Latn,	0.07
zsm_Latn,	0
urd_Arab,	0.01
azb_Arab,	0.11
bul_Cyrl,	0
knc_Latn,	0.02
zul_Latn,	0.02
jpn_Jpan,	0.13
mlt_Latn,	0.01
fin_Latn,	0.1
npi_Deva,	0
bjn_Arab,	0.13
kmr_Latn,	0
deu_Latn,	0.06
zho_Hans,	0.06
est_Latn,	0.31
kor_Hang,	0.14
tam_Taml,	0.02
sun_Latn,	0.02
nno_Latn,	0.04
eng_Latn,	0
swh_Latn,	0
isl_Latn,	0.72
hye_Armn,	0.09
spa_Latn,	0
ary_Arab,	0.01
