Languages,	Evaluation results
Avg,	1.72
vie_Latn,	3.6
tgk_Cyrl,	2.08
som_Latn,	2.33
heb_Hebr,	1.08
tha_Thai,	0.43
kas_Arab,	0.49
taq_Latn,	1.92
lao_Laoo,	0.08
acm_Arab,	0.58
apc_Arab,	0.69
arb_Arab,	1.1
fra_Latn,	3.05
tur_Latn,	1.2
min_Latn,	2.22
xho_Latn,	0.63
azj_Latn,	1.61
mya_Mymr,	0.04
ita_Latn,	2.76
hun_Latn,	2.04
hat_Latn,	2.77
glg_Latn,	3.25
eus_Latn,	1.3
smo_Latn,	5.42
kaz_Cyrl,	1.14
ars_Arab,	0.85
aeb_Arab,	0.86
yor_Latn,	0.33
ckb_Arab,	0.41
hin_Deva,	1.3
min_Arab,	0.3
gle_Latn,	3.02
pol_Latn,	2.09
nob_Latn,	2.87
guj_Gujr,	0.1
ltz_Latn,	2.07
sin_Sinh,	0.15
jav_Latn,	2.76
arz_Arab,	0.78
sot_Latn,	4.03
sna_Latn,	0.89
dan_Latn,	3.17
mar_Deva,	0.54
slk_Latn,	2.23
tel_Telu,	0.06
acq_Arab,	0.71
mal_Mlym,	0.4
snd_Arab,	1.05
ces_Latn,	2.32
cat_Latn,	2.7
afr_Latn,	3.51
ace_Arab,	0.62
gla_Latn,	3.56
ace_Latn,	1.74
srp_Cyrl,	1.96
mni_Beng,	0.37
slv_Latn,	2.69
als_Latn,	4.04
ell_Grek,	1.06
knc_Arab,	0.38
nso_Latn,	3.61
pbt_Arab,	1.37
zho_Hant,	0.63
epo_Latn,	2.26
plt_Latn,	3
bjn_Latn,	1.55
ajp_Arab,	0.62
amh_Ethi,	0.17
bel_Cyrl,	2.22
cym_Latn,	2.55
swe_Latn,	2.27
yue_Hant,	0.46
nld_Latn,	2.68
kir_Cyrl,	1.6
pes_Arab,	1.01
ben_Beng,	0.61
khk_Cyrl,	1.68
lvs_Latn,	1.99
ibo_Latn,	2.72
ukr_Cyrl,	2.06
por_Latn,	2.3
khm_Khmr,	0.28
ron_Latn,	2.78
uzn_Latn,	1.74
kan_Knda,	0.12
hau_Latn,	2.69
lit_Latn,	2.51
arb_Latn,	0.32
rus_Cyrl,	1.84
mkd_Cyrl,	2.35
ceb_Latn,	4.62
kat_Geor,	0.34
ydd_Hebr,	0.59
mri_Latn,	5.26
ind_Latn,	3.23
zsm_Latn,	3.64
urd_Arab,	1.54
azb_Arab,	0.52
bul_Cyrl,	2.52
knc_Latn,	1.05
zul_Latn,	1.27
jpn_Jpan,	1.29
mlt_Latn,	2.74
fin_Latn,	2.03
npi_Deva,	0.59
bjn_Arab,	0.34
kmr_Latn,	2.08
deu_Latn,	1.95
zho_Hans,	0.18
est_Latn,	1.9
kor_Hang,	0.96
tam_Taml,	0.42
sun_Latn,	2.44
nno_Latn,	2.01
eng_Latn,	2.37
swh_Latn,	2.99
isl_Latn,	1.97
hye_Armn,	0.43
spa_Latn,	3.19
ary_Arab,	0.59
