Languages,	Evaluation results
Avg,	0.4
vie_Latn,	0.77
tgk_Cyrl,	0.52
som_Latn,	0.51
heb_Hebr,	0.4
tha_Thai,	0.12
kas_Arab,	0.02
taq_Latn,	0.3
lao_Laoo,	0.24
acm_Arab,	0.08
apc_Arab,	0.07
arb_Arab,	0.07
fra_Latn,	0.69
tur_Latn,	0.19
min_Latn,	0.23
xho_Latn,	0.05
azj_Latn,	0.27
mya_Mymr,	0.17
ita_Latn,	0.33
hun_Latn,	0.51
hat_Latn,	0.5
glg_Latn,	0.33
eus_Latn,	0.42
smo_Latn,	2.9
kaz_Cyrl,	0.09
ars_Arab,	0.06
aeb_Arab,	0.05
yor_Latn,	0.42
ckb_Arab,	0.09
hin_Deva,	0.7
min_Arab,	0.1
gle_Latn,	0.65
pol_Latn,	0.47
nob_Latn,	0.76
guj_Gujr,	0.79
ltz_Latn,	0.51
sin_Sinh,	0.38
jav_Latn,	0.21
arz_Arab,	0.14
sot_Latn,	0.96
sna_Latn,	0.08
dan_Latn,	0.73
mar_Deva,	0.14
slk_Latn,	0.58
tel_Telu,	0.19
acq_Arab,	0.12
mal_Mlym,	0.13
snd_Arab,	0.45
ces_Latn,	0.38
cat_Latn,	0.64
afr_Latn,	0.7
ace_Arab,	0.02
gla_Latn,	1.11
ace_Latn,	0.27
srp_Cyrl,	0.33
mni_Beng,	0.14
slv_Latn,	0.81
als_Latn,	0.97
ell_Grek,	0.47
knc_Arab,	0.05
nso_Latn,	0.94
pbt_Arab,	0.24
zho_Hant,	0.05
epo_Latn,	0.32
plt_Latn,	0.53
bjn_Latn,	0.25
ajp_Arab,	0.03
amh_Ethi,	0.03
bel_Cyrl,	0.32
cym_Latn,	0.47
swe_Latn,	0.5
yue_Hant,	0.07
nld_Latn,	0.75
kir_Cyrl,	0.33
pes_Arab,	0.56
ben_Beng,	0.09
khk_Cyrl,	0.28
lvs_Latn,	0.75
ibo_Latn,	0.77
ukr_Cyrl,	0.29
por_Latn,	0.33
khm_Khmr,	0.38
ron_Latn,	0.64
uzn_Latn,	0.15
kan_Knda,	0.19
hau_Latn,	0.59
lit_Latn,	0.53
arb_Latn,	0.1
rus_Cyrl,	0.23
mkd_Cyrl,	0.5
ceb_Latn,	0.81
kat_Geor,	0.14
ydd_Hebr,	0.52
mri_Latn,	1.77
ind_Latn,	0.42
zsm_Latn,	0.41
urd_Arab,	0.74
azb_Arab,	0.08
bul_Cyrl,	0.55
knc_Latn,	0.18
zul_Latn,	0.17
jpn_Jpan,	0.05
mlt_Latn,	0.3
fin_Latn,	0.32
npi_Deva,	0.14
bjn_Arab,	0.01
kmr_Latn,	0.5
deu_Latn,	0.41
zho_Hans,	0.07
est_Latn,	0.44
kor_Hang,	0.11
tam_Taml,	0.24
sun_Latn,	0.17
nno_Latn,	0.59
eng_Latn,	0.46
swh_Latn,	0.38
isl_Latn,	0.53
hye_Armn,	0.57
spa_Latn,	0.43
ary_Arab,	0.09
