Languages, Evaluation results
Avg, 1.85
vie_Latn,	3.12
tgk_Cyrl,	1.59
som_Latn,	1.33
heb_Hebr,	1.22
tha_Thai,	0.32
kas_Arab,	0.81
taq_Latn,	1.36
lao_Laoo,	0.48
acm_Arab,	0.79
apc_Arab,	0.76
arb_Arab,	0.6
fra_Latn,	2.94
tur_Latn,	0.74
min_Latn,	1.61
xho_Latn,	0.54
azj_Latn,	1.43
mya_Mymr,	0.08
ita_Latn,	2.23
hun_Latn,	2.3
hat_Latn,	1.83
glg_Latn,	2.84
eus_Latn,	1.04
smo_Latn,	4.24
kaz_Cyrl,	1.43
ars_Arab,	0.56
aeb_Arab,	0.93
yor_Latn,	0.37
ckb_Arab,	0.65
hin_Deva,	2.96
min_Arab,	28.26
gle_Latn,	2.55
pol_Latn,	1.54
nob_Latn,	1.91
guj_Gujr,	0.6
ltz_Latn,	1.64
sin_Sinh,	0.32
jav_Latn,	1.96
arz_Arab,	0.76
sot_Latn,	3.05
sna_Latn,	0.76
dan_Latn,	2.11
mar_Deva,	1.39
slk_Latn,	1.16
tel_Telu,	0.52
acq_Arab,	0.87
mal_Mlym,	0.3
snd_Arab,	1.2
ces_Latn,	1.79
cat_Latn,	2.03
afr_Latn,	1.95
ace_Arab,	0.67
gla_Latn,	2.23
ace_Latn,	0.82
srp_Cyrl,	1.01
mni_Beng,	0.46
slv_Latn,	1.71
als_Latn,	1.79
ell_Grek,	2.22
knc_Arab,	0.53
nso_Latn,	2.85
pbt_Arab,	2.09
zho_Hant,	0.68
epo_Latn,	2
plt_Latn,	2.06
bjn_Latn,	1.56
ajp_Arab,	0.55
amh_Ethi,	0.14
bel_Cyrl,	1.18
cym_Latn,	2.24
swe_Latn,	2.07
yue_Hant,	0.65
nld_Latn,	2.56
kir_Cyrl,	1.19
pes_Arab,	1.86
ben_Beng,	0.62
khk_Cyrl,	1.37
lvs_Latn,	1.43
ibo_Latn,	3.05
ukr_Cyrl,	1.48
por_Latn,	2.13
khm_Khmr,	0.84
ron_Latn,	1.73
uzn_Latn,	1.15
kan_Knda,	0.48
hau_Latn,	1.67
lit_Latn,	0.94
arb_Latn,	28.5
rus_Cyrl,	1.41
mkd_Cyrl,	1.16
ceb_Latn,	2.91
kat_Geor,	0.1
ydd_Hebr,	0.56
mri_Latn,	2.96
ind_Latn,	2.32
zsm_Latn,	2.25
urd_Arab,	2.13
azb_Arab,	0.96
bul_Cyrl,	1.38
knc_Latn,	0.77
zul_Latn,	0.76
jpn_Jpan,	0.33
mlt_Latn,	1
fin_Latn,	1.1
npi_Deva,	0.94
bjn_Arab,	0.51
kmr_Latn,	1.14
deu_Latn,	1.88
zho_Hans,	0.6
est_Latn,	1.06
kor_Hang,	0.66
tam_Taml,	0.56
sun_Latn,	1.23
nno_Latn,	1.61
eng_Latn,	2.64
swh_Latn,	1.87
isl_Latn,	1.62
hye_Armn,	0.22
spa_Latn,	2.59
ary_Arab,	0.83
