Languages,	Evaluation results
Avg,	1.53
vie_Latn,	2.37
tgk_Cyrl,	1.89
som_Latn,	2.76
heb_Hebr,	0.9
tha_Thai,	0.33
kas_Arab,	0.35
taq_Latn,	1.8
lao_Laoo,	0.05
acm_Arab,	0.45
apc_Arab,	0.89
arb_Arab,	0.81
fra_Latn,	4.07
tur_Latn,	0.88
min_Latn,	2.53
xho_Latn,	1.23
azj_Latn,	1.66
mya_Mymr,	0.16
ita_Latn,	3.34
hun_Latn,	1.33
hat_Latn,	3.26
glg_Latn,	2.94
eus_Latn,	1.17
smo_Latn,	4.9
kaz_Cyrl,	0.95
ars_Arab,	0.77
aeb_Arab,	0.42
yor_Latn,	0.22
ckb_Arab,	0.64
hin_Deva,	1.26
min_Arab,	0.34
gle_Latn,	1.98
pol_Latn,	2.04
nob_Latn,	1.94
guj_Gujr,	0.21
ltz_Latn,	1.8
sin_Sinh,	0.23
jav_Latn,	2.9
arz_Arab,	0.76
sot_Latn,	3.31
sna_Latn,	1.78
dan_Latn,	2.15
mar_Deva,	0.81
slk_Latn,	2.3
tel_Telu,	0.28
acq_Arab,	0.66
mal_Mlym,	0.09
snd_Arab,	0.71
ces_Latn,	1.51
cat_Latn,	2.51
afr_Latn,	2.24
ace_Arab,	0.31
gla_Latn,	1.74
ace_Latn,	2.3
srp_Cyrl,	1.03
mni_Beng,	0.52
slv_Latn,	2.1
als_Latn,	2.31
ell_Grek,	0.96
knc_Arab,	0.11
nso_Latn,	3.03
pbt_Arab,	1.22
zho_Hant,	0.34
epo_Latn,	2.06
plt_Latn,	3.22
bjn_Latn,	2.02
ajp_Arab,	0.62
amh_Ethi,	0.17
bel_Cyrl,	1.32
cym_Latn,	2.27
swe_Latn,	1.3
yue_Hant,	0.43
nld_Latn,	2.52
kir_Cyrl,	0.97
pes_Arab,	1.13
ben_Beng,	0.77
khk_Cyrl,	1.2
lvs_Latn,	1.47
ibo_Latn,	2.04
ukr_Cyrl,	1.59
por_Latn,	2.24
khm_Khmr,	0.53
ron_Latn,	2.81
uzn_Latn,	2.05
kan_Knda,	0.39
hau_Latn,	2.66
lit_Latn,	2.17
arb_Latn,	0.41
rus_Cyrl,	1.83
mkd_Cyrl,	1.43
ceb_Latn,	3.18
kat_Geor,	0.49
ydd_Hebr,	0.65
mri_Latn,	3.78
ind_Latn,	2.55
zsm_Latn,	3.23
urd_Arab,	0.96
azb_Arab,	0.63
bul_Cyrl,	1.13
knc_Latn,	1.62
zul_Latn,	1.68
jpn_Jpan,	0.58
mlt_Latn,	1.68
fin_Latn,	1.76
npi_Deva,	0.76
bjn_Arab,	0.37
kmr_Latn,	1.8
deu_Latn,	2.75
zho_Hans,	0.35
est_Latn,	2.15
kor_Hang,	0.81
tam_Taml,	0.43
sun_Latn,	1.94
nno_Latn,	2.21
eng_Latn,	2.72
swh_Latn,	2.84
isl_Latn,	1.65
hye_Armn,	0.36
spa_Latn,	4.71
ary_Arab,	0.4
