Languages,	Evaluation results
Avg,	0.75
vie_Latn,	1.39
tgk_Cyrl,	0.53
som_Latn,	0.68
heb_Hebr,	0.68
tha_Thai,	0.39
kas_Arab,	0.26
taq_Latn,	0.75
lao_Laoo,	0.26
acm_Arab,	0.32
apc_Arab,	0.5
arb_Arab,	0.17
fra_Latn,	2.45
tur_Latn,	0.79
min_Latn,	1.65
xho_Latn,	0.69
azj_Latn,	0.13
mya_Mymr,	0.07
ita_Latn,	1.84
hun_Latn,	0.9
hat_Latn,	1.86
glg_Latn,	1.27
eus_Latn,	0.68
smo_Latn,	1.65
kaz_Cyrl,	0.15
ars_Arab,	0.47
aeb_Arab,	0.28
yor_Latn,	0.09
ckb_Arab,	0.55
hin_Deva,	0.44
min_Arab,	0.09
gle_Latn,	1
pol_Latn,	1.47
nob_Latn,	0.81
guj_Gujr,	0.65
ltz_Latn,	0.47
sin_Sinh,	0.2
jav_Latn,	1.66
arz_Arab,	0.28
sot_Latn,	1.14
sna_Latn,	1.15
dan_Latn,	0.74
mar_Deva,	1.03
slk_Latn,	0.72
tel_Telu,	0.32
acq_Arab,	0.14
mal_Mlym,	0.29
snd_Arab,	0.48
ces_Latn,	0.79
cat_Latn,	0.79
afr_Latn,	0.33
ace_Arab,	0.29
gla_Latn,	1.19
ace_Latn,	1.11
srp_Cyrl,	0.52
mni_Beng,	0.52
slv_Latn,	0.85
als_Latn,	0.39
ell_Grek,	0.3
knc_Arab,	0.08
nso_Latn,	1.11
pbt_Arab,	0.56
zho_Hant,	0.33
epo_Latn,	0.81
plt_Latn,	0.97
bjn_Latn,	1.29
ajp_Arab,	0.3
amh_Ethi,	0.18
bel_Cyrl,	0.12
cym_Latn,	0.75
swe_Latn,	0.98
yue_Hant,	0.28
nld_Latn,	0.75
kir_Cyrl,	0.22
pes_Arab,	0.57
ben_Beng,	0.53
khk_Cyrl,	0.55
lvs_Latn,	0.64
ibo_Latn,	0.74
ukr_Cyrl,	0.47
por_Latn,	1.88
khm_Khmr,	0.28
ron_Latn,	1.42
uzn_Latn,	0.71
kan_Knda,	0.34
hau_Latn,	1.59
lit_Latn,	1.22
arb_Latn,	0.08
rus_Cyrl,	0.58
mkd_Cyrl,	0.41
ceb_Latn,	1.7
kat_Geor,	0.35
ydd_Hebr,	0.61
mri_Latn,	0.87
ind_Latn,	2.21
zsm_Latn,	1.22
urd_Arab,	0.65
azb_Arab,	0.3
bul_Cyrl,	0.62
knc_Latn,	0.69
zul_Latn,	0.91
jpn_Jpan,	0.6
mlt_Latn,	0.47
fin_Latn,	0.94
npi_Deva,	0.58
bjn_Arab,	0.25
kmr_Latn,	0.66
deu_Latn,	2.07
zho_Hans,	0.09
est_Latn,	0.5
kor_Hang,	0.42
tam_Taml,	0.76
sun_Latn,	1.72
nno_Latn,	0.59
eng_Latn,	3.14
swh_Latn,	0.94
isl_Latn,	0.35
hye_Armn,	0.19
spa_Latn,	2.25
ary_Arab,	0.35
