Languages,Evaluation results
Avg,1.93												
vie_Latn,3.07
tgk_Cyrl,1.01	
som_Latn,1.26	
heb_Hebr,0.60
tha_Thai,0.72
kas_Arab,0.39	
taq_Latn,1.30	
lao_Laoo,0.84
acm_Arab,0.54	
apc_Arab,0.72	
arb_Arab,1.07	
fra_Latn,3.56
tur_Latn,3.56	
min_Latn,0.90
xho_Latn,1.40													
azj_Latn,0.94	
mya_Mymr,1.82	
ita_Latn,0.49	
hun_Latn,4.14	
hat_Latn,2.08	
glg_Latn,2.62	
eus_Latn,2.35	
smo_Latn,1.39	
kaz_Cyrl,3.13	
ars_Arab,1.12	
aeb_Arab,0.96
yor_Latn,0.48														
ckb_Arab,0.14	
hin_Deva,0.53	
min_Arab,1.68	
gle_Latn,28.09	
pol_Latn,1.99	
nob_Latn,1.75	
guj_Gujr,2.20
ltz_Latn,0.46	
sin_Sinh,1.15	
jav_Latn,0.21
arz_Arab,1.76
sot_Latn,1.20												
sna_Latn,3.08	
dan_Latn,0.80
mar_Deva,2.29	
slk_Latn,0.66	
tel_Telu,1.40	
acq_Arab,0.74	
mal_Mlym,0.88
snd_Arab,0.19	
ces_Latn,0.66	
cat_Latn,2.09	
afr_Latn,3.07	
ace_Arab,2.89	
gla_Latn,1.00	
ace_Latn,2.08	
srp_Cyrl,1.54
mni_Beng,1.14	
slv_Latn,0.65	
als_Latn,1.53	
ell_Grek,2.01
knc_Arab,0.94
nso_Latn,0.29	
pbt_Arab,3.58
zho_Hant,1.61															
epo_Latn,1.00	
plt_Latn,1.46
bjn_Latn,1.75
ajp_Arab,1.81	
amh_Ethi,0.94	
bel_Cyrl,0.28	
cym_Latn,1.18
swe_Latn,1.60	
yue_Hant,2.70	
nld_Latn,0.91
kir_Cyrl,2.46	
pes_Arab,0.29	
ben_Beng,2.00	
khk_Cyrl,0.79														
lvs_Latn,1.08	
ibo_Latn,1.56	
ukr_Cyrl,2.48	
por_Latn,1.68	
khm_Khmr,3.85	
ron_Latn,0.72	
uzn_Latn,2.59
kan_Knda,0.90	
hau_Latn,0.47	
lit_Latn,1.83	
arb_Latn,2.73	
rus_Cyrl,28.32
mkd_Cyrl,2.36													
ceb_Latn,2.49	
kat_Geor,2.22	
ydd_Hebr,0.60	
mri_Latn,0.14	
ind_Latn,1.96	
zsm_Latn,2.80
urd_Arab,2.59	
azb_Arab,0.90	
bul_Cyrl,0.44	
knc_Latn,1.88
zul_Latn,0.57	
jpn_Jpan,0.82	
mlt_Latn,1.37																
fin_Latn,0.92	
npi_Deva,0.55
bjn_Arab,0.61	
kmr_Latn,1.13	
deu_Latn,3.33
zho_Hans,0.42	
est_Latn,1.26		
kor_Hang,1.08
tam_Taml,0.37	
sun_Latn,1.49
nno_Latn,1.41	
eng_Latn,4.26	
swh_Latn,1.82
isl_Latn,1.05	
hye_Armn,0.21
spa_Latn,3.53	
ary_Arab,1.40
