Languages,	Evaluation results
Avg,	1.05
vie_Latn,	3.23
tgk_Cyrl,	1.21
som_Latn,	0.93
heb_Hebr,	1.55
tha_Thai,	0.16
kas_Arab,	0.62
taq_Latn,	0.54
lao_Laoo,	0.41
acm_Arab,	0.51
apc_Arab,	0.19
arb_Arab,	0.85
fra_Latn,	3.04
tur_Latn,	0.63
min_Latn,	0.63
xho_Latn,	0.39
azj_Latn,	0.44
mya_Mymr,	0.17
ita_Latn,	2.17
hun_Latn,	0.79
hat_Latn,	0.8
glg_Latn,	2.44
eus_Latn,	0.43
smo_Latn,	1.69
kaz_Cyrl,	1.05
ars_Arab,	0.63
aeb_Arab,	0.71
yor_Latn,	0.22
ckb_Arab,	1.02
hin_Deva,	1.71
min_Arab,	0.29
gle_Latn,	1.15
pol_Latn,	0.8
nob_Latn,	1.29
guj_Gujr,	0.66
ltz_Latn,	1.33
sin_Sinh,	0.55
jav_Latn,	1.09
arz_Arab,	1.25
sot_Latn,	1.86
sna_Latn,	0.51
dan_Latn,	1.47
mar_Deva,	0.45
slk_Latn,	1.2
tel_Telu,	0.54
acq_Arab,	0.59
mal_Mlym,	0.39
snd_Arab,	1.76
ces_Latn,	1.14
cat_Latn,	0.85
afr_Latn,	1.14
ace_Arab,	0.91
gla_Latn,	1.26
ace_Latn,	0.9
srp_Cyrl,	1.01
mni_Beng,	0.6
slv_Latn,	0.97
als_Latn,	0.95
ell_Grek,	0.83
knc_Arab,	0.06
nso_Latn,	1.8
pbt_Arab,	1.75
zho_Hant,	0.76
epo_Latn,	1.04
plt_Latn,	1.11
bjn_Latn,	1.03
ajp_Arab,	1.09
amh_Ethi,	0.54
bel_Cyrl,	1.22
cym_Latn,	1.41
swe_Latn,	0.93
yue_Hant,	0.93
nld_Latn,	1.11
kir_Cyrl,	0.75
pes_Arab,	1.72
ben_Beng,	0.51
khk_Cyrl,	1.1
lvs_Latn,	1.16
ibo_Latn,	0.85
ukr_Cyrl,	1.27
por_Latn,	2.51
khm_Khmr,	0.46
ron_Latn,	1.96
uzn_Latn,	1.1
kan_Knda,	0.29
hau_Latn,	1.22
lit_Latn,	1.39
arb_Latn,	0.46
rus_Cyrl,	1.22
mkd_Cyrl,	1.35
ceb_Latn,	1.63
kat_Geor,	0.39
ydd_Hebr,	0.71
mri_Latn,	1.67
ind_Latn,	1.07
zsm_Latn,	1.44
urd_Arab,	1.83
azb_Arab,	0.38
bul_Cyrl,	1.02
knc_Latn,	0.86
zul_Latn,	0.52
jpn_Jpan,	0.93
mlt_Latn,	0.98
fin_Latn,	1.16
npi_Deva,	0.55
bjn_Arab,	0.72
kmr_Latn,	1.09
deu_Latn,	1.37
zho_Hans,	0.85
est_Latn,	1.07
kor_Hang,	1.04
tam_Taml,	0.84
sun_Latn,	0.77
nno_Latn,	1.16
eng_Latn,	3.64
swh_Latn,	0.52
isl_Latn,	0.93
hye_Armn,	0.29
spa_Latn,	3.34
ary_Arab,	1.12
